    ,nome                                     ,qtde   ,unidade ,vl_unit ,vl_total ,conta_despesa                                       ,data_transacao
 80 ,AGUA TONICA ANTARCTICA LT 350ML          , 1.0   ,UN      ,  2.79  ,    2.79 ,A. ANGELONI CIA LTDA                                ,28/02/2022 13:41:10
 81 ,CHOC NESTLE CLASSIC LEITE BR 90G         , 1.0   ,UN      ,  5.79  ,    5.79 ,A. ANGELONI CIA LTDA                                ,28/02/2022 13:41:10
 82 ,CHOC NESTLE CLASSIC DUO BR 90G           , 1.0   ,UN      ,  5.79  ,    5.79 ,A. ANGELONI CIA LTDA                                ,28/02/2022 13:41:10
 83 ,CHA LEAO PRETO CLIMAO CGAS LT 290ML      , 1.0   ,UN      ,  3.99  ,    3.99 ,A. ANGELONI CIA LTDA                                ,28/02/2022 13:41:10
 84 ,PAO ANG BATATA CSALSICHA (LANCH)(I)      , 0.118 ,KG      , 37.9   ,    4.47 ,A. ANGELONI CIA LTDA                                ,28/02/2022 13:41:10
 85 ,MANTEIGA BATAVO EXTRA CSAL TAB 200G      , 1.0   ,UN      ,  8.69  ,    8.69 ,A. ANGELONI CIA LTDA                                ,28/02/2022 13:41:10
 86 ,MOLHO SAKURA TRADICIONAL PET 1L          , 1.0   ,UN      , 26.9   ,   26.9  ,A. ANGELONI CIA LTDA                                ,28/02/2022 13:41:10
 87 ,MACA GOLDEN IMPORTADA KG                 , 0.185 ,KG      , 10.5   ,    1.94 ,A. ANGELONI CIA LTDA                                ,28/02/2022 13:41:10
 88 ,BANANA CATURRA KG                        , 0.98  ,KG      ,  4.99  ,    4.89 ,A. ANGELONI CIA LTDA                                ,28/02/2022 13:41:10
 89 ,Cheddar ALC                              , 1.0   ,UN      , 11.9   ,   11.9  ,ARCOS DOURADOS COMERCIO DE ALIMENTOS SA             ,21/03/2022 18:07:30
